taxon,clade,dna_id,voucher_published source,its,b-tubulin,COR1B,COR3,COR16,rbclx,rbclx_phylogroup_haplotype,name_on_the_tree
P. friesiorum Gyeln.,6,P1647,"Brazil, Miadlikowska & al. s.n., CGMS 34539",MH758328,MH770870,MH770094,MH770351,MH769848,MH770626,V,6P_friesiorum_Brazil_P1647 
P. spuriella Vain.,6,P1648,"Peru, A. D. Maldonado 14, NY",MH758329,MH770871,MH770095,MH770352,MH769849,MH770627,unique,6P_friesiorum_Brazil_P1648 
P. friesiorum Gyeln.,6,P1739,"Peru, Miadlikowska s.n., DUKE 0401814",MH758337,MH770872,MH770096,MH770353,MH769850,MH770628,XXXIXd,6P_friesiorum_Peru_P1739 
P. friesiorum Gyeln.,6,P2007,"Brazil, Miadlikowska & al. s.n., CGMS 34587",MH758332,MH770874,MH770097,MH770354,MH769851,MH770631,V,6P_friesiorum_Brazil_P2007 
P. friesiorum Gyeln.,6,P2035,"Brazil, Spielmann & al. 9935, CGMS 35048",MH758335,MH770875,MH770098,MH770355,MH769852,MH770634,V,6P_friesiorum_Brazil_P2035 
P. friesiorum Gyeln.,6,P2045,"Bolivia, Kukwa 8465, Ex UGDA-L-17699",MH758322,MH770876,MH770099,MH770356,MH769853,MH770635,XXXVI,6P_friesiorum_Bolivia_P2045 
"P. granulosa Sérus., Goffinet, Mi_dl. & Vitik.",6,P2176,"Papua New Guinea, Sérusiaux 15150, LG",MH758338,MH770877,MH770100,MH770357,MH769854,MH770637,V,6P_granulosa_PapuaNewGuinea_P2176 
P. laciniata (G. Merr.) Gyeln. 1,6,P0026,"Costa Rica, Miadlikowska & Lutzoni 23-03-03-9, DUKE 0401843",MH758343,KM005815,MH770101,MH770358,MH769855,MH770638,XL,6P_laciniata_CostaRica_P0026 
P. laciniata (G. Merr.) Gyeln. 1,6,P2058,"Ecuador, Yanez-Anabaca 2556, CDF",MH758347,MH770878,MH770102,MH770359,MH769856,MH770641,XL,6P_laciniata_Ecuador_P2058 
P. laciniata (G. Merr.) Gyeln. 1,6,P2075,"Colombia, Lücking 33693, UDBC",MH758341,MH770879,MH770103,MH770360,MH769857,MH770642,XL,6P_laciniata_Colombia_P2075 
P. laciniata (G. Merr.) Gyeln. 1,6,P2198,"Ecuador, Truong 3956, DUKE 0401842",MH758350,MH770880,MH770104,MH770361,MH769858,MH770644,XL,6P_laciniata_Ecuador_P2198 
P. laciniata (G. Merr.) Gyeln. 2,6,P2051,"Bolivia, Kukwa 9562, Ex UGDA-L-17724, DUKE dupl. 0401839",MH758340,MH770881,MH770105,MH770362,MH769859,MH770646,XL,6P_laciniata_Bolivia_P2051 
P. lepidophora (Vain.) Bitter 1,6,P1844,"Canada: BC, T. Goward s.n., UBC",MH758354,KM005810,---,MH770363,MH769860,MH770647,XXX,6P_lepidophora_scotland_P1844 
P. lepidophora (Vain.) Bitter 1,6,P2124,"Iceland, Kristinsson 49244 LA-29491, AMNH",MH758353,MH770882,MH770106,MH770364,MH769861,MH770648,XXX,6P_lepidophora_Iceland_P2124 
P. lepidophora (Vain.) Bitter 1 ,6,P2112,"USA: NY, Lendemer 12047, NY 0154474",MH758355,MH770883,MH770107,MH770365,MH769862,MH770649,XLI,6P_lepidophora_USA_P2112 
P. lepidophora (Vain.) Bitter 2,6,P2101,"USA: AK, Miadlikowska & Lutzoni, DUKE 0357968",MH758352,MH770884,MH770108,MH770366,MH769863,MH770650,XXIV,6P_lepidophora_Alaska_P2101 
P. rufescens (Weiss) Humb. 1,6,P2002,"Denmark, Hansen s.n., H",MH758368,MH770886,---,MH770368,MH769864,MH770655,XXV,6P_rufescens_Denmark_P2002 
P. rufescens (Weiss) Humb. 1,6,P2043,"Chile: Region XII, Goffinet 7076, CONN",MH758367,MH770887,MH770109,MH770369,MH769865,MH770656,XXV,6P_rufescens_Chile_P2043 
P. rufescens (Weiss) Humb. 1,6,P2083,"USA: NC, Hollinger 2711, UBC",MH758370,MH770888,MH770110,MH770370,MH769866,MH770657,XXXV,6P_rufescens_USA_P2083 
P. rufescens (Weiss) Humb. 1,6,P2203,"USA: UT, Truong 4044, DUKE 0401869",---,MH770889,MH770111,MH770371,MH769867,MH770658,XXXIII,6P_rufescens_USA_P2203
P. rufescens (Weiss) Humb. 2,6,P2071,"Costa Rica, Miadlikowska & Lutzoni 23.03.03-3, DUKE 0401870",MH758371,MH770890,---,MH770372,MH769868,MH770659,XL,6P_rufescens_CostaRica_P2071 
P. soredians Vitik.,6,P2152,"Ecuador, Kalb 39785, DUKE",MH758349,MH770893,MH770115,MH770376,MH769869,MH770665,XXVIc,6P_laciniata_Ecuador_P2152 
P. sp. 15,6,P0432,"Ecuador, Frisch 96/Eq101, H",MH758375,MH770894,MH770116,MH770377,MH769870,MH770667,XL,6P_spuriella_Ecuador_P0432 
P. sp. 15,6,P2153,"Colombia, Lücking 34027, UDBC",MH758374,MH770895,MH770117,MH770378,MH769871,MH770668,XL,6P_spuriella_Colombia_P2153 
P. wulingensis L. F. Han & S. Y. Guo,6,P1348,"Canada: QC, J. Gagnon s.n., QFA 0595019",MH758377,MH770896,---,MH770379,MH769872,MH770669,XXXIIIb,6P_wulingensis_Quebec_P1348 
P. wulingensis L. F. Han & S. Y. Guo,6,P2031,"Russia: Krasnoyarsk Territory, Miadlikowska s.n., Duke 0357978",MH758378,MH770897,MH770118,MH770380,MH769873,MH770670,XXXIIIb,6P_wulingensis_Russia_P2031 
P. wulingensis L. F. Han & S. Y. Guo,6,P2188,"Canada: AB, Miadlikowska & Lutzoni s.n., DUKE 0357979",MH758376,MH770898,MH770119,MH770381,MH769874,MH770671,V,6P_wulingensis_Canada_P2188 
P. neocanina 1,7,HOB27,"Canada: BC, O'Brien & al. 2013",KC437635,MH770899,MH770120,MH770383,MH769875,KC437877,XXX,7P_neocanina_CanadaBC_HOB04060522 
P. neocanina 1,7,P2098,"USA: AK, Miadlikowska & Lutzoni s.n., DUKE 0401834",MH758384,MH770901,MH770121,MH770384,MH769876,MH770675,XXXIX,7P_neocanina_Alaska_P2098 
P. neocanina 1,7,P2192,"USA: AK, Miadlikowska & Lutzoni s.n., DUKE 0401816",---,MH770902,MH770122,MH770385,MH769877,MH770676,XXXIIIa,7P_neocanina_Alaska_P2192
P. neocanina 1,7,P2212,"Canada: BC, Goward 5306, UBC",MH758385,MH770903,MH770123,MH770386,MH769878,MH770677,XXX,7P_neocanina_CanadaBC_P2212 
P. neocanina 2,7,P0068,"USA: NM, Hollinger 2401, UBC",MH758394,MH770904,MH770124,MH770387,MH769879,KX923106,XXX,7P_neocanina_USA_P0068 
P. neocanina 2,7,P2089,"USA: CO, King L286, NY",MH758397,MH770905,---,MH770388,MH769880,MH770678,XXX,7P_neocanina_USA_P2089 
P. neocanina 2,7,P2202,"USA: UT, Truong 3995, DUKE 0401867",MH758398,MH770906,MH770125,MH770389,MH769881,MH770679,XXX,7P_neocanina_USA_P2202 
P. neocanina 3,7,P1405,"Russia: Krasnoyarsk Territory, Miadlikowska & al. s.n., DUKE 0401821",MH758390,MH770907,---,MH770390,MH769882,MH770680,V,7P_neocanina_Russia_P1405 
P. neocanina 3,7,P2224,"China: Yunnan, Goffinet 9979, CONN",MH758386,MH770908,MH770126,MH770391,MH769883,MH770684,XXXIIc,7P_neocanina_China_P2224 
P. neocanina 4,7,P0006,"Iceland, Miadlikowska & Lutzoni 08.08.10-5, DUKE 0401832",MH758387,MH770909,MH770127,MH770392,MH769884,MH770685,XLII,7P_neocanina_Iceland_P0006 
P. neocanina 4,7,P2232,"Norway, Goward 02-1480, UBC",MH758389,MH770910,MH770128,MH770393,MH769885,MH770686,V,7P_neocanina_Norway_P2232 
P. cinnamomea Goward,7,HOB21,"Canada: BC, O'Brien & al. 2013",FJ708912,FJ709306,MH770129,MH770394,MH769886,---,N/A,7P_cinnamomea_CanadaBC_HOB030611004 
P. cinnamomea Goward,7,HOB22,"Canada: BC, O'Brien & al. 2013",FJ708913,FJ709307,MH770130,MH770395,MH769887,---,N/A,7P_cinnamomea_CanadaBC_HOB040605112 
P. cinnamomea Goward,7,P2141=P1808,"Canada: BC, Goward s.n., UBC",MH758379,KX880187,MH770131,MH770396,MH769888,MH770687,XLII,7P_cinnamomea_Canada_P2141 
P. erioderma Vain. 1,7,P2162,"Papua New Guinea, Sérusiaux s.n., LG",MH758380,MH770911,MH770132,MH770397,MH769889,MH770688,XXXI,7P_erioderma_PapuaNewGuinea_P2162 
P. degenii Gyeln. 1,8,P0523,"Norway, Magain s.n., LG",MH758402,KM005828,MH770136,MH770400,MH769890,MH770692,XLIII,8P_degenii1_Norway_P0523 
P. degenii Gyeln. 1,8,P0563,"Norway, Magain s.n., LG",MH758403,MH770913,MH770137,MH770401,MH769891,MH770693,XVI,8P_degenii1_Norway_P0563 
P. degenii Gyeln. 1,8,P0586,"Norway, Magain s.n., LG",MH758404,MH770914,MH770138,MH770402,MH769892,MH770694,XIII,8P_degenii1_Norway_P0586 
P. degenii Gyeln. 1,8,P2108,"Austria, Hafellner & Miadlikowska, DUKE 0032160",MH758399,MH770915,MH770139,MH770403,MH769893,MH770695,XXX,8P_degenii1_Austria_P2108 
P. degenii Gyeln. 1,8,P2129,"France, Magain s.n., DUKE 0401808",MH758400,MH770916,MH770140,MH770404,MH769894,---,N/A,8P_degenii1_France_P2129 
P. degenii Gyeln. 1,8,P2130,"France, Magain s.n., DUKE 0401807",MH758401,MH770917,MH770141,MH770405,MH769895,MH770696,V,8P_degenii1_France_P2130 
P. degenii Gyeln. 1,8,P2133,"Ukraine, Dymytrova & Naumovich 183, KW 69499",MH758405,MH770918,MH770142,MH770406,MH769896,---,N/A,8P_degenii1_Ukraine_P2133 
P. degenii Gyeln. 1,8,P2170,"Ukraine, Dymytrova & Savchyn 22, KW",MH758406,MH770919,MH770143,MH770407,MH769897,MH770697,XLIII,8P_degenii1_Ukraine_P2170 
P. degenii Gyeln. 2a,8,HOB3,"Canada: BC, O'Brien & al. 2013",FJ709030,FJ709315,MH770144,MH770408,MH769898,---,N/A,8P_degenii2_CanadaBC_HOB040605103 
P. degenii Gyeln. 2a,8,P2107,"Canada: QC, Darnajoux s.n., DUKE 0401806",MH758410,MH770920,MH770145,---,MH769899,MH770698,V,8P_degenii2_Quebec_P2107 
P. degenii Gyeln. 2a,8,P2139,"Russia: Khabarovsk Territory, Miadlikowska & Lutzoni s.n., DUKE 0401824",MH758413,MH770921,MH770146,MH770409,MH769900,MH770699,XLIII,8P_degenii2_Russia_P2139 
P. degenii Gyeln. 2a,8,P2147,"Canada: BC, Goward 02-380, ACC L41345",MH758407,MH770922,MH770147,---,MH769901,MH770700,XLIII,8P_degenii2_CanadaBC_P2147 
P. degenii Gyeln. 2a,8,P2182,"Canada: QC, Roy 11-5914C, QFA 0595636",MH758411,---,MH770148,---,MH769902,MH770701,XLII,8P_degenii2_Quebec_P2182 
P. degenii Gyeln. 2a,8,P2183,"Canada: QC, Miadlikowska & Lutzoni 07.04.03-1A, DUKE 0401805",MH758412,MH770923,MH770149,---,MH769903,MH770702,XIII,8P_degenii2_Quebec_P2183 
P. degenii Gyeln. 2a,8,P3086,"Japan: Hokkaido, Thor 13948, UPS 392189",MH758409,MH770924,MH770150,MH770410,MH769904,MH770703,XIII,8P_degenii2_Japan_P3086 
P. degenii Gyeln. 2b,8,P2228,"Japan: Honshu, Thor 11963, UPS395916",MH758408,---,MH770151,MH770411,MH769905,MH770704,XIII,8P_degenii2_Japan_P2228 
P. degenii Gyeln. 3a,8,P2136,"Russia: Sakhalin, Tchabanenko, SAKH 3083",MH758419,MH770925,MH770152,MH770412,MH769906,MH770705,XLIII,8P_degenii3_Russia_P2136 
P. degenii Gyeln. 3a,8,P2137,"Russia: Sakhalin, Tchabanenko, SAKH 3081",MH758420,MH770926,MH770153,MH770413,MH769907,MH770706,V,8P_degenii3_Russia_P2137 
P. degenii Gyeln. 3b,8,P1267,"China: Jilin, Sohrabi 16474, H",MH758414,MH770927,MH770154,MH770414,MH769908,MH770707,V,8P_degenii3_China_P1267 
P. degenii Gyeln. 3b,8,P1276,"China: Jilin, Sohrabi 16417, H",MH758415,MH770928,MH770155,MH770415,MH769909,MH770708,V,8P_degenii3_China_P1276 
P. degenii Gyeln. 3b,8,P2022,"Russia: Kurile Islands, Abrahamczyk 15, H",MH758416,MH770929,MH770156,MH770416,MH769910,MH770709,V,8P_degenii3_Russia_P2022 
P. degenii Gyeln. 3c,8,ES3306,"Japan: Honshu, Sérusiaux s.n., LG",MH758417,MH770930,MH770157,MH770417,MH769911,MH770710,XXXIIb,8P_degenii3_Japan_ES3306 
P. degenii Gyeln. 3c,8,P2023,"Japan: Honshu, Ohmura & al. s.n., DUKE 0188055",MH758418,MH770931,MH770158,MH770418,MH769912,MH770711,V,8P_degenii3_Japan_P2023 
P. membranacea (Ach.) Nyl. 1,8,HOB4,"Canada: BC, O'Brien & al. 2013",FJ709034,FJ709434,MH770159,MH770419,MH769913,---,N/A,8P_membranacea_CanadaBC_HOB0406051011 
P. membranacea (Ach.) Nyl. 1,8,HOB6,"Canada: BC, O'Brien & al. 2013",FJ709031,FJ709431,MH770160,MH770420,MH769914,---,N/A,8P_membranacea_CanadaBC_HOB020708091 
P. membranacea (Ach.) Nyl. 1,8,P0003,"Iceland, Miadlikowska & Lutzoni s.n., DUKE 0357981",MH758426,KM005814,MH770161,MH770421,MH769915,KX923102,XVI,8P_membranacea_Iceland_P0003 
P. membranacea (Ach.) Nyl. 1,8,P0086,"Spain, Vare L1807, H",MH758431,MH770932,MH770162,MH770422,MH769916,MH770712,XVI,8P_membranacea_Spain_P0086 
P. membranacea (Ach.) Nyl. 1,8,P1005,"Norway, Magain s.n., LG",MH758428,MH770933,---,MH770423,MH769917,MH770713,XIII,8P_membranacea_Norway_P1005 
P. membranacea (Ach.) Nyl. 1,8,P2116,"Canada: BC, Truong s.n., DUKE 0401833",MH758421,MH770934,MH770163,MH770424,MH769918,MH770714,XLIII,8P_membranacea_CanadaBC_P2116 
P. membranacea (Ach.) Nyl. 1,8,P2121,"Portugal, Vust 3084, G.",MH758429,MH770935,MH770164,MH770425,MH769919,MH770715,XVI,8P_membranacea_Portugal_P2121 
P. membranacea (Ach.) Nyl. 1,8,P2122,"France: Corsica, Vust 6423, G.",MH758422,MH770936,MH770165,MH770426,MH769920,MH770716,XVI,8P_membranacea_Corse_P2122 
P. membranacea (Ach.) Nyl. 1,8,P2128,"France: Corsica, Vust 6405, G.",MH758423,MH770937,MH770166,MH770427,MH769921,---,N/A,8P_membranacea_Corse_P2128 
P. membranacea (Ach.) Nyl. 1,8,P2131,"France, Magain s.n., DUKE 0401819",MH758424,MH770938,MH770167,MH770428,MH769922,---,N/A,8P_membranacea_France_P2131 
P. membranacea (Ach.) Nyl. 1,8,P2191,"Iceland, Heidmarsson 2746, AMNH LA-31754",MH758427,MH770939,MH770168,MH770429,MH769923,MH770717,XVI,8P_membranacea_Iceland_P2191 
P. membranacea (Ach.) Nyl.2,8,P2135,"Russia: Khabarovsk Territory, Miadlikowska & al. s.n., DUKE 0401812",MH758430,MH770940,MH770169,MH770430,MH769924,---,N/A,8P_membranacea_Russia_P2135 
P. tereziana Gyeln.,8,P0433,"Australia: VIC, H. Streimann 50914, H",MH758432,MH770941,MH770170,MH770431,MH769925,MH770718,XX,8P_tereziana_Australia_P0433 
P. tereziana Gyeln.,8,P2021,"Australia: ACT, Kalb 30730, DUKE",MH758433,MH770942,MH770171,MH770432,MH769926,MH770719,XX,8P_tereziana_Australia_P2021 
P. tereziana Gyeln.,8,P2171,"Australia: NSW, Streimann 63484, CANB 604582.1",MH758434,MH770944,MH770172,MH770433,MH769927,MH770720,XX,8P_tereziana_Australia_P2171 
P. tereziana Gyeln.,8,P2172,"Australia: NSW, Streimann 60382, CBG 9906411",MH758435,MH770945,MH770173,MH770434,MH769928,MH770721,XX,8P_tereziana_Australia_P2172 
P. tereziana Gyeln.,8,P2174,"Australia: VIC, Elix 39629, CANB 00792024",MH758436,MH770946,MH770174,MH770435,MH769929,MH770722,XX,8P_tereziana_Australia_P2174 
P. fuscopraetextata,9,HOB7,"Canada: BC, O'Brien & al. 2013",FJ708893,FJ709317,MH770175,MH770436,MH769930,---,N/A,9P_fuscopraetextata_CanadaBC_HOB0207086253 
P. fuscopraetextata,9,HOB8,"Canada: BC, O'Brien & al. 2013",FJ708892,FJ709316,MH770176,MH770437,MH769931,---,N/A,9P_fuscopraetextata_CanadaBC_HOB0207083153 
P. fuscopraetextata,9,P1110,"Canada: BC, Goward 06-1538B, UBC",MH758507,MH770947,MH770177,---,MH769932,MH770723,VI,9P_fuscopraetextata_NorthAmerica_P1110 
P. fuscopraetextata,9,P2012,"Argentina, Stenroos 2235, H",MH758500,MH770948,MH770178,MH770438,MH769933,MH770724,VI,9P_fuscopraetextata_Argentina_P2012 
P. fuscopraetextata,9,P2014,"Chile: Region XI, Rubio 4067, H",MH758503,MH770949,MH770179,MH770439,MH769934,MH770725,VI,9P_fuscopraetextata_Chile_P2014 
P. fuscopraetextata,9,P2018,"Argentina, Kalb s.n., DUKE 0401830",MH758502,MH770950,MH770180,---,MH769935,MH770728,VI,9P_fuscopraetextata_Argentina_P2018 
P. fuscopraetextata,9,P2036,"Chile: Region XII, Goffinet 10490, CONN",MH758505,MH770951,MH770181,MH770440,MH769936,MH770729,VI,9P_fuscopraetextata_Chile_P2036 
P. fuscopraetextata,9,P2067,"Chile: Region XII, Wheeler & Nelson 6528, CONC",MH758506,MH770952,MH770182,MH770441,MH769937,MH770730,VI,9P_fuscopraetextata_Chile_P2067 
P. fuscopraetextata,9,P2219,"USA: OR, McCune 30990, OSC",MH758508,---,MH770183,MH770442,MH769938,MH770731,VI,9P_fuscopraetextata_USA_P2219 
P. fuscopraetextata,9,P2223,"USA: UT, Truong 4016, DUKE 0401863",MH758509,MH770953,MH770184,MH770443,MH769939,MH770732,XXX,9P_fuscopraetextata_USA_P2223 
P. austroamericana Zahlbr./fibrilloides (Gyeln.) Vitik. 2,9,P2059,"Mexico, Herrera-Campos 13380 MEXU",MH758442,MH770956,MH770186,MH770445,MH769940,MH770744,XXXIX,9P_austroamericana_Mexico_P2059 
P. austroamericana Zahlbr./fibrilloides (Gyeln.) Vitik. 2,9,P2138,"Mexico, Herrera-Campos 13381, MEXU",MH758462,MH770957,MH770187,MH770446,MH769941,MH770745,N/A,9P_fibrilloides_Mexico_P2138 
P. austroamericana Zahlbr./fibrilloides (Gyeln.) Vitik. 3,9,P2048,"Peru, Lutzoni 05.23.212-7, DUKE 0357974",MH758465,MH770958,MH770188,MH770447,MH769942,MH770746,XXXIX,9P_fibrilloides_Peru_P2048 
P. austroamericana Zahlbr./fibrilloides (Gyeln.) Vitik. 3,9,P2073,"Peru, Rivas Plata & Ramos s.n., DUKE 0357973",MH758466,MH770959,MH770189,MH770448,MH769943,MH770747,XXXVI,9P_fibrilloides_Peru_P2073 
P. austroamericana Zahlbr./fibrilloides (Gyeln.) Vitik. 3,9,P2076,"Colombia, Lücking 33628, UDBC",MH758451,MH770960,MH770190,MH770449,MH769944,MH770748,XXXVI,9P_fibrilloides_Colombia_P2076 
P. austroamericana Zahlbr./fibrilloides (Gyeln.) Vitik. 3,9,P2197,"Ecuador, Truong 3975, DUKE 040152",MH758460,MH770961,MH770191,MH770450,MH769945,MH770749,XXXIX,9P_fibrilloides_Ecuador_P2197 
P. austroamericana Zahlbr./fibrilloides (Gyeln.) Vitik. 4,9,P0025,"Costa Rica, Miadlikowska & Lutzoni 23.03.03-8, DUKE 0401856",MH758453,MH770962,MH770192,MH770451,MH769946,MH770750,XXXIXe,9P_fibrilloides_CostaRica_P0025 
P. austroamericana Zahlbr./fibrilloides (Gyeln.) Vitik. 4,9,P2060,"Mexico, Herrera-Campos 137, MEXU",MH758461,MH770966,MH770193,MH770452,MH769947,MH770745,XXXIX,9P_fibrilloides_Mexico_P2060 
P. austroamericana Zahlbr./fibrilloides (Gyeln.) Vitik. 5,9,P1598,"Brazil, Miadlikowska & al. s.n., CGMS 34505",MH758438,MH770967,MH770194,MH770453,MH769948,MH770751,V,9P_austroamericana_Brazil_P1598 
P. austroamericana Zahlbr./fibrilloides (Gyeln.) Vitik. 5,9,P2010,"Brazil, Canez 10234, CGMS 35044",MH758447,MH770968,MH770195,MH770454,MH769949,MH770753,V,9P_fibrilloides_Brazil_P2010 
P. austroamericana Zahlbr./fibrilloides (Gyeln.) Vitik. 5,9,P2011,"Brazil, Magain s.n., CGMS 34427",MH758448,MH770969,MH770196,MH770455,MH769950,MH770754,V,9P_fibrilloides_Brazil_P2011 
P. austroamericana Zahlbr./fibrilloides (Gyeln.) Vitik. 5,9,P2019,"Ecuador, Kalb 18391, DUKE",MH758459,MH770970,MH770197,---,MH769951,MH770755,XXXIX,9P_fibrilloides_Ecuador_P2019 
P. austroamericana Zahlbr./fibrilloides (Gyeln.) Vitik. 5,9,P2052,"Bolivia, Kukwa 8504, Ex UGDA-L-17700, DUKE dupl. 0401859",MH758445,MH770971,MH770198,MH770456,MH769952,MH770757,XXXIX,9P_fibrilloides_Bolivia_P2052 
P. austroamericana Zahlbr./fibrilloides (Gyeln.) Vitik. 5,9,P2134,"Bolivia, Truong 2826, DUKE 0401858",MH758446,MH770972,MH770199,MH770457,MH769953,---,N/A,9P_fibrilloides_Bolivia_P2134 
P. austroamericana Zahlbr./fibrilloides (Gyeln.) Vitik. 6,9,P2055,"Peru, Bennett s.n., WIS",MH758444,MH770973,MH770200,MH770458,MH769954,MH770758,XXXVI,9P_austroamericana_Peru_P2055 
P. canina (L.) Willd. 1,9,HOB12,"Canada: BC, O'Brien & al. 2013",FJ708890,---,MH770201,MH770459,MH769955,KC437709,V,9P_canina_CanadaBC_HOB020708451 
P. canina (L.) Willd. 1,9,HOB13,"Canada: BC, O'Brien & al. 2013",FJ708881,FJ709294,MH770202,MH770460,MH769956,---,N/A,9P_canina_CanadaBC_HOB030611006 
P. canina (L.) Willd. 1,9,P0014,"Iceland, Miadlikowska & Lutzoni s.n., DUKE 0357980",KU954063,KM005803,MH770203,MH770461,MH769957,KX923097,VI,9P_canina_Iceland_P0014 
P. canina (L.) Willd. 1,9,P1411,"Russia: Krasnoyarsk Territory, Miadlikowska & Lutzoni s.n., DUKE 0357997",MH758475,MH770974,---,---,MH769958,MH770759,V,9P_canina_Russia_P1411 
P. canina (L.) Willd. 1,9,P2032,"Russia: Krasnoyarsk Territory, Miadlikowska & Lutzoni s.n., DUKE 0401836",MH758478,MH770975,MH770204,MH770462,MH769959,MH770762,V,9P_canina_Russia_P2032 
P. canina (L.) Willd. 1,9,P2097,"China: Yunnan, Miadlikowska s.n., DUKE 0401862",MH758470,MH770976,MH770205,---,MH769960,MH770763,XXXVIIIa,9P_canina_China_P2097 
P. canina (L.) Willd. 1,9,P2113,"Austria, Hafellner & Miadlikowska, DUKE 0130114",MH758467,MH770977,MH770206,MH770463,MH769961,MH770764,V,9P_canina_Austria_P2113 
P. canina (L.) Willd. 1,9,P2118,"France: Corsica, Vust 6421, G.",MH758471,MH770978,MH770207,MH770464,MH769962,MH770765,XXIX,9P_canina_Corse_P2118 
P. canina (L.) Willd. 1,9,P2120,"Switzerland, Vust 279, G.",MH758479,MH770979,MH770208,MH770465,MH769963,MH770766,V,9P_canina_Switzerland_P2120 
P. canina (L.) Willd. 1,9,P2123,"France: Corsica, Vust 6412, G.",MH758473,MH770980,MH770209,MH770466,MH769964,MH770767,XXIX,9P_canina_Corse_P2123 
P. canina (L.) Willd. 1,9,P2193,"The Netherlands, Aptroot 53752, ABL",MH758474,MH770982,MH770211,MH770467,MH769965,MH770769,XXV,9P_canina_Netherland_P2193 
P. canina (L.) Willd. 1,9,P2213,"Canada: BC, Goward 5305, UBC",MH758469,MH770983,MH770212,MH770468,MH769966,MH770770,VI,9P_canina_CanadaBC_P2213 
P. canina (L.) Willd. 2,9,HOB10,"Canada: BC, O'Brien & al. 2013",FJ708874,FJ709290,MH770213,---,MH769967,---,N/A,9P_canina_CanadaBC_HOB0207083152 
P. canina (L.) Willd. 2,9,HOB9,"Canada: BC, O'Brien & al. 2013",FJ708875,FJ709304,MH770214,MH770469,MH769968,---,N/A,9P_canina_CanadaBC_HOB0207087013 
P. canina (L.) Willd. 2,9,P0004,"Iceland, Miadlikowska & Lutzoni 08.08.10-3, DUKE 0401829",KU954062,KM005821,MH770215,MH770470,MH769969,KX923096,XXXIII,9P_canina_Iceland_P0004 
P. canina (L.) Willd. 2,9,P2026,"USA: NC, Miadlikowska & Lutzoni s.n., DUKE 0357999",MH758483,MH770984,MH770223,MH770471,MH769970,MH770775,XXXVIIIa,9P_canina_USA_P2026 
P. canina (L.) Willd. 2,9,P2081,"USA: NC, Hollinger 2731, UBC",MH758484,MH770985,MH770224,MH770472,MH769971,MH770776,XXXVII,9P_canina_USA_P2081 
P. canina (L.) Willd. 2,9,P2090,"USA: OK, Buck 46463, DUKE 0138952",MH758485,MH770986,MH770216,MH770473,MH769972,MH770777,XXXIV,9P_canina_USA_P2090 
P. canina (L.) Willd. 2,9,P2190,"Canada: AB, Miadlikowska & Lutzoni s.n., DUKE 0401817",MH758468,MH770988,MH770218,---,MH769973,MH770779,VI,9P_canina_Canada_P2190 
P. canina (L.) Willd. 2,9,P2201,"USA: UT, Truong 3996, DUKE 0401865",MH758486,MH770989,MH770219,MH770475,MH769974,MH770780,XXX,9P_canina_USA_P2201 
P. canina (L.) Willd. 2,9,P2211,"USA: CO, Leavitt SDL-CO-13, BRY-C",MH758487,MH770990,MH770220,---,MH769975,MH770781,XXX,9P_canina_USA_P2211 
P. canina (L.) Willd. 2,9,P2221,"USA: MI, Miadlikowska & Lutzoni s.n., DUKE 0401826",MH758488,MH770991,MH770221,MH770476,MH769976,MH770782,XXXIII,9P_canina_USA_P2221 
P. canina (L.) Willd. 2,9,P2222,"USA: TN, Chen & Gajdeczka s.n., DUKE 0401818",MH758489,MH770992,MH770222,MH770477,MH769977,MH770783,V,9P_canina_USA_P2222 
P. evansiana Gyeln.,9,P1817,"USA: PA, Lendemer 17422, NY 01105603",MH758491,KM005808,---,MH770478,MH769978,MH770785,XXXIXa,9P_evansiana_USA_P1817 
P. evansiana Gyeln.,9,P2084,"USA: NC, Miadlikowska & Lutzoni s.n., DUKE 0357991",MH758493,MH770993,MH770225,MH770479,MH769979,MH770786,XXXIXa,9P_evansiana_USA_P2084 
P. evansiana Gyeln.,9,P2189,"USA: MI, Miadlikowska & al s.n., DUKE 0401813",MH758494,MH770994,MH770226,MH770480,MH769980,MH770787,XXXIIIb,9P_evansiana_USA_P2189 
P. islandica T. Goward & S. S. Manoharan-Basil,9,IC332,"Iceland, Manoharan-Basil & al. 2016",KJ413245,KJ413189,MH770227,MH770481,MH769981,---,N/A,9P_sp20_Iceland_IC332 
P. islandica T. Goward & S. S. Manoharan-Basil,9,IC355,"Iceland, Manoharan-Basil & al. 2016",KJ413244,KJ413192,MH770228,MH770482,MH769982,---,N/A,9P_sp20_Iceland_IC355 
P. praetextata (Flörke ex Sommerf.) Zopf,9,HOB18,"Canada: BC, O'Brien & al. 2013",FJ708905,FJ709451,MH770229,MH770483,MH769983,---,N/A,9P_praetextata_CanadaBC_HOB030611005 
P. praetextata (Flörke ex Sommerf.) Zopf,9,HOB19,"Canada: BC, O'Brien & al. 2013",FJ708904,FJ709450,MH770230,MH770484,MH769984,---,N/A,9P_praetextata_CanadaBC_HOB0207083192 
P. praetextata (Flörke ex Sommerf.) Zopf,9,P0420,"Serbia, Uotila 48419, H",MH758520,---,---,---,MH769985,MH770788,V,9P_praetextata_Serbia_P0420 
